_id,Station Code,State,State Code,District,District Code,Block Name,Block Code,Location Name,Location Code,Basin,Basin Code,Sub Basin,Sub Basin Code,Latitude,Longitude,Monitoring Date,Water Discharge
42,KCCCB4GMYS23,Karnataka,10,Mysuru,186,T Narsipur,130,Cauvery_Bannur,Cauvery_Bannur,Cauvery,9,Middle Cauvery,233,12.31973972,76.84117139,11-02-2021,10.78
43,KCCCB4GMYS23,Karnataka,10,Mysuru,186,T Narsipur,130,Cauvery_Bannur,Cauvery_Bannur,Cauvery,9,Middle Cauvery,233,12.31973972,76.84117139,12-02-2021,9.79
44,KCCCB4GMYS23,Karnataka,10,Mysuru,186,T Narsipur,130,Cauvery_Bannur,Cauvery_Bannur,Cauvery,9,Middle Cauvery,233,12.31973972,76.84117139,13-02-2021,9.94
45,KCCCB4GMYS23,Karnataka,10,Mysuru,186,T Narsipur,130,Cauvery_Bannur,Cauvery_Bannur,Cauvery,9,Middle Cauvery,233,12.31973972,76.84117139,14-02-2021,10.12
46,KCCCB4GMYS23,Karnataka,10,Mysuru,186,T Narsipur,130,Cauvery_Bannur,Cauvery_Bannur,Cauvery,9,Middle Cauvery,233,12.31973972,76.84117139,15-02-2021,15.11
47,KCCCB4GMYS23,Karnataka,10,Mysuru,186,T Narsipur,130,Cauvery_Bannur,Cauvery_Bannur,Cauvery,9,Middle Cauvery,233,12.31973972,76.84117139,16-02-2021,31.46
48,KCCCB4GMYS23,Karnataka,10,Mysuru,186,T Narsipur,130,Cauvery_Bannur,Cauvery_Bannur,Cauvery,9,Middle Cauvery,233,12.31973972,76.84117139,17-02-2021,40.61
49,KCCCB4GMYS23,Karnataka,10,Mysuru,186,T Narsipur,130,Cauvery_Bannur,Cauvery_Bannur,Cauvery,9,Middle Cauvery,233,12.31973972,76.84117139,18-02-2021,41.7
50,KCCCB4GMYS23,Karnataka,10,Mysuru,186,T Narsipur,130,Cauvery_Bannur,Cauvery_Bannur,Cauvery,9,Middle Cauvery,233,12.31973972,76.84117139,19-02-2021,47.39
51,KCCCB4GMYS23,Karnataka,10,Mysuru,186,T Narsipur,130,Cauvery_Bannur,Cauvery_Bannur,Cauvery,9,Middle Cauvery,233,12.31973972,76.84117139,20-02-2021,53.82
